"NU_CUSTOMER";"BANDEIRA";"RELATORIO"
1019048473;"1019048473-DINE";"DOMICILIO BANCARIO"
1020124803;"1020124803-CABA";"DOMICILIO BANCARIO"
1020124803;"1020124803-SORO";"DOMICILIO BANCARIO"
1020124803;"1020124803-VISA";"DOMICILIO BANCARIO"
1020382292;"1020382292-BANE";"DOMICILIO BANCARIO"
1020382292;"1020382292-CABA";"DOMICILIO BANCARIO"
1020382292;"1020382292-CRED";"DOMICILIO BANCARIO"
1020382292;"1020382292-DINE";"DOMICILIO BANCARIO"
1020382292;"1020382292-SORO";"DOMICILIO BANCARIO"
1021298783;"1021298783-BANE";"DOMICILIO BANCARIO"
1021298783;"1021298783-CABA";"DOMICILIO BANCARIO"
1022123464;"1022123464-BANE";"DOMICILIO BANCARIO"
1022123464;"1022123464-CABA";"DOMICILIO BANCARIO"
1022123464;"1022123464-CRED";"DOMICILIO BANCARIO"
1022123464;"1022123464-DINE";"DOMICILIO BANCARIO"
1022123464;"1022123464-MAST";"DOMICILIO BANCARIO"
1022123464;"1022123464-SORO";"DOMICILIO BANCARIO"
1022123464;"1022123464-VISA";"DOMICILIO BANCARIO"
1022277739;"1022277739-MAST";"DOMICILIO BANCARIO"
1022277739;"1022277739-VISA";"DOMICILIO BANCARIO"
1022602982;"1022602982-DINE";"DOMICILIO BANCARIO"
1023435230;"1023435230-BANE";"DOMICILIO BANCARIO"
1023435230;"1023435230-CRED";"DOMICILIO BANCARIO"
1023435230;"1023435230-DINE";"DOMICILIO BANCARIO"
1023435230;"1023435230-MAST";"DOMICILIO BANCARIO"
1023435230;"1023435230-VISA";"DOMICILIO BANCARIO"
1023663683;"1023663683-DINE";"DOMICILIO BANCARIO"
1024565073;"1024565073-DINE";"DOMICILIO BANCARIO"
1024565073;"1024565073-MAST";"DOMICILIO BANCARIO"
1024565073;"1024565073-VISA";"DOMICILIO BANCARIO"
1024762952;"1024762952-BANE";"DOMICILIO BANCARIO"
1024762952;"1024762952-CABA";"DOMICILIO BANCARIO"
1024762952;"1024762952-CRED";"DOMICILIO BANCARIO"
1025945600;"1025945600-SORO";"DOMICILIO BANCARIO"
1026117485;"1026117485-DINE";"DOMICILIO BANCARIO"
1028839720;"1028839720-MAST";"DOMICILIO BANCARIO"
1029107154;"1029107154-BANE";"DOMICILIO BANCARIO"
1029192771;"1029192771-DINE";"DOMICILIO BANCARIO"
1029369833;"1029369833-BANE";"DOMICILIO BANCARIO"
1029369833;"1029369833-CABA";"DOMICILIO BANCARIO"
1029369833;"1029369833-CRED";"DOMICILIO BANCARIO"
1029369833;"1029369833-SORO";"DOMICILIO BANCARIO"
1029768551;"1029768551-DINE";"DOMICILIO BANCARIO"
1030335181;"1030335181-";"DOMICILIO BANCARIO"
1030335181;"1030335181-AMEX";"DOMICILIO BANCARIO"
1030335181;"1030335181-CABA";"DOMICILIO BANCARIO"
1030335181;"1030335181-CRED";"DOMICILIO BANCARIO"
1030335181;"1030335181-HIPE";"DOMICILIO BANCARIO"
1030335181;"1030335181-SORO";"DOMICILIO BANCARIO"
1030905085;"1030905085-BANE";"DOMICILIO BANCARIO"
1030905085;"1030905085-CABA";"DOMICILIO BANCARIO"
1030905085;"1030905085-CRED";"DOMICILIO BANCARIO"
1030905085;"1030905085-DINE";"DOMICILIO BANCARIO"
1030905085;"1030905085-SORO";"DOMICILIO BANCARIO"
1031967947;"1031967947-DINE";"DOMICILIO BANCARIO"
1032479822;"1032479822-DINE";"DOMICILIO BANCARIO"
1032775367;"1032775367-DINE";"DOMICILIO BANCARIO"
1032776924;"1032776924-DINE";"DOMICILIO BANCARIO"
1033117207;"1033117207-DINE";"DOMICILIO BANCARIO"
1033156741;"1033156741-DINE";"DOMICILIO BANCARIO"
1033364360;"1033364360-DINE";"DOMICILIO BANCARIO"
1033566168;"1033566168-DINE";"DOMICILIO BANCARIO"
1033603500;"1033603500-DINE";"DOMICILIO BANCARIO"
1033783185;"1033783185-DINE";"DOMICILIO BANCARIO"
1033783983;"1033783983-DINE";"DOMICILIO BANCARIO"
1033865394;"1033865394-DINE";"DOMICILIO BANCARIO"
1033943972;"1033943972-DINE";"DOMICILIO BANCARIO"
1034049000;"1034049000-DINE";"DOMICILIO BANCARIO"
1034116638;"1034116638-DINE";"DOMICILIO BANCARIO"
1034155668;"1034155668-DINE";"DOMICILIO BANCARIO"
1034324338;"1034324338-DINE";"DOMICILIO BANCARIO"
1034326608;"1034326608-DINE";"DOMICILIO BANCARIO"
1034348440;"1034348440-DINE";"DOMICILIO BANCARIO"
1034400336;"1034400336-DINE";"DOMICILIO BANCARIO"
1034541029;"1034541029-DINE";"DOMICILIO BANCARIO"
1034564401;"1034564401-DINE";"DOMICILIO BANCARIO"
1034851907;"1034851907-DINE";"DOMICILIO BANCARIO"
1034868893;"1034868893-DINE";"DOMICILIO BANCARIO"
1035000269;"1035000269-DINE";"DOMICILIO BANCARIO"
1035055438;"1035055438-DINE";"DOMICILIO BANCARIO"
1035064070;"1035064070-DINE";"DOMICILIO BANCARIO"
1035138643;"1035138643-DINE";"DOMICILIO BANCARIO"
1035341406;"1035341406-DINE";"DOMICILIO BANCARIO"
1035502647;"1035502647-DINE";"DOMICILIO BANCARIO"
1035715365;"1035715365-DINE";"DOMICILIO BANCARIO"
1035735170;"1035735170-DINE";"DOMICILIO BANCARIO"
1036070350;"1036070350-VISA";"DOMICILIO BANCARIO"
1036257573;"1036257573-DINE";"DOMICILIO BANCARIO"
1036380103;"1036380103-DINE";"DOMICILIO BANCARIO"
1036480426;"1036480426-DINE";"DOMICILIO BANCARIO"
1036538688;"1036538688-DINE";"DOMICILIO BANCARIO"
1036712190;"1036712190-BANE";"DOMICILIO BANCARIO"
1036712190;"1036712190-CABA";"DOMICILIO BANCARIO"
1036712190;"1036712190-CRED";"DOMICILIO BANCARIO"
1036712190;"1036712190-SORO";"DOMICILIO BANCARIO"
1036744660;"1036744660-DINE";"DOMICILIO BANCARIO"
1036757916;"1036757916-DINE";"DOMICILIO BANCARIO"
1036843278;"1036843278-DINE";"DOMICILIO BANCARIO"
1037026400;"1037026400-DINE";"DOMICILIO BANCARIO"
1037178626;"1037178626-BANE";"DOMICILIO BANCARIO"
1037178626;"1037178626-CABA";"DOMICILIO BANCARIO"
1037178626;"1037178626-CRED";"DOMICILIO BANCARIO"
1037178626;"1037178626-DINE";"DOMICILIO BANCARIO"
1037178626;"1037178626-SORO";"DOMICILIO BANCARIO"
1037185509;"1037185509-DINE";"DOMICILIO BANCARIO"
1037344798;"1037344798-DINE";"DOMICILIO BANCARIO"
1037362621;"1037362621-DINE";"DOMICILIO BANCARIO"
1037615929;"1037615929-DINE";"DOMICILIO BANCARIO"
1037622780;"1037622780-DINE";"DOMICILIO BANCARIO"
1037647928;"1037647928-DINE";"DOMICILIO BANCARIO"
1037834663;"1037834663-DINE";"DOMICILIO BANCARIO"
1037904084;"1037904084-DINE";"DOMICILIO BANCARIO"
1037993796;"1037993796-DINE";"DOMICILIO BANCARIO"
1038155441;"1038155441-DINE";"DOMICILIO BANCARIO"
1038155670;"1038155670-DINE";"DOMICILIO BANCARIO"
1038316747;"1038316747-DINE";"DOMICILIO BANCARIO"
1038642636;"1038642636-DINE";"DOMICILIO BANCARIO"
1038682948;"1038682948-CABA";"DOMICILIO BANCARIO"
1038682948;"1038682948-CRED";"DOMICILIO BANCARIO"
1039042195;"1039042195-DINE";"DOMICILIO BANCARIO"
1039081557;"1039081557-DINE";"DOMICILIO BANCARIO"
1039222444;"1039222444-DINE";"DOMICILIO BANCARIO"
1039225664;"1039225664-DINE";"DOMICILIO BANCARIO"
1039375321;"1039375321-DINE";"DOMICILIO BANCARIO"
1039865230;"1039865230-DINE";"DOMICILIO BANCARIO"
1040014558;"1040014558-DINE";"DOMICILIO BANCARIO"
1040026858;"1040026858-DINE";"DOMICILIO BANCARIO"
1040048622;"1040048622-DINE";"DOMICILIO BANCARIO"
1040238766;"1040238766-BANE";"DOMICILIO BANCARIO"
1040238766;"1040238766-CABA";"DOMICILIO BANCARIO"
1040238766;"1040238766-CRED";"DOMICILIO BANCARIO"
1040238766;"1040238766-SORO";"DOMICILIO BANCARIO"
1040362912;"1040362912-DINE";"DOMICILIO BANCARIO"
1040446946;"1040446946-CABA";"DOMICILIO BANCARIO"
1040446946;"1040446946-CRED";"DOMICILIO BANCARIO"
1040446946;"1040446946-SORO";"DOMICILIO BANCARIO"
1040582530;"1040582530-DINE";"DOMICILIO BANCARIO"
1040682488;"1040682488-DINE";"DOMICILIO BANCARIO"
1040752877;"1040752877-BANE";"DOMICILIO BANCARIO"
1040752877;"1040752877-CABA";"DOMICILIO BANCARIO"
1040752877;"1040752877-CRED";"DOMICILIO BANCARIO"
1040752877;"1040752877-DINE";"DOMICILIO BANCARIO"
1040752877;"1040752877-MAST";"DOMICILIO BANCARIO"
1040752877;"1040752877-SORO";"DOMICILIO BANCARIO"
1040752877;"1040752877-VISA";"DOMICILIO BANCARIO"
1041163204;"1041163204-BANE";"DOMICILIO BANCARIO"
