#EC;SERVICO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ;DATA_CONTROLE
"1006382159";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006382159";"29092017"
"1006389005";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006389005";"29092017"
"1006462730";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006462730";"29092017"
"1006504602";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006504602";"29092017"
"1006565202";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006565202";"29092017"
"1006567191";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006567191";"29092017"
"1006576280";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006576280";"29092017"
"1006642819";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006642819";"29092017"
"1006731153";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006731153";"29092017"
"1006731897";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006731897";"29092017"
"1006752452";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006752452";"29092017"
"1006754994";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006754994";"29092017"
"1006755109";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006755109";"29092017"
"1006910112";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006910112";"29092017"
"1006916510";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006916510";"29092017"
"1006979465";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1006979465";"29092017"
"1007026747";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1007026747";"29092017"
"1007046004";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1007046004";"29092017"
"1007137905";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1007137905";"29092017"
"1007196138";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1007196138";"29092017"
"1007322419";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1007322419";"29092017"
"1007446975";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1007446975";"29092017"
"1007453971";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1007453971";"29092017"
"1008161656";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1008161656";"29092017"
"1008530341";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1008530341";"29092017"
"1009121011";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1009121011";"29092017"
"1009346196";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1009346196";"29092017"
"1009834247";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1009834247";"29092017"
"1010356671";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1010356671";"29092017"
"1010452484";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1010452484";"29092017"
"1010499081";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1010499081";"29092017"
"1010780872";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1010780872";"29092017"
"1011108051";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1011108051";"29092017"
