"EC";"BANDEIRA"
1019135929;"VISA"
1023443632;"MASTERCARD"
1023443632;"VISA"
1027953422;"VISA"
1037526381;"MASTERCARD"
1037526381;"VISA"
1038453710;"VISA"
1050401163;"MASTERCARD"
1050401163;"VISA"
1051952082;"MASTERCARD"
1051952082;"VISA"
1052545880;"MASTERCARD"
1052545880;"VISA"
1063445407;"MASTERCARD"
1063445407;"VISA"
1081388037;"VISA"
1086781047;"MASTERCARD"
1086781047;"VISA"
1092246557;"MASTERCARD"
1092246557;"VISA"
